key,type,encoding,value
SPN816,data,string,Pressure Modulator, Drive Axle Relay Valve
SPN817,data,string,Pressure Transducer, Drive Axle Relay Valve
SPN818,data,string,Master Control Relay
SPN819,data,string,Trailer Brake Slack Out Of Adjustment Forward Axle Left
SPN820,data,string,Trailer Brake Slack Out Of Adjustment Forward Axle Right
SPN821,data,string,Trailer Brake Slack Out Of Adjustment Rear Axle Left
SPN822,data,string,Trailer Brake Slack Out Of Adjustment Rear Axle Right
SPN823,data,string,Tractor Brake Slack Out Of Adjustment Axle 1 Left
SPN824,data,string,Tractor Brake Slack Out Of Adjustment Axle 1 Right
SPN825,data,string,Tractor Brake Slack Out Of Adjustment Axle 2 Left
SPN826,data,string,Tractor Brake Slack Out Of Adjustment Axle 2 Right
SPN827,data,string,Tractor Brake Slack Out Of Adjustment Axle 3 Left
SPN828,data,string,Tractor Brake Slack Out Of Adjustment Axle 3 Right
SPN829,data,string,Left Fuel Level Sensor
SPN830,data,string,Right Fuel Level Sensor
SPN831,data,string,Engine Fuel Feed Rate Sensor
SPN832,data,string,Engine Fuel Return Rate Sensor
SPN833,data,string,Fuel Rack  Sensor
SPN834,data,string,Fuel Rack Actuator
SPN835,data,string,Oil Level Indicator Output
SPN836,data,string,Tachometer Drive Output
SPN837,data,string,Speedometer Drive Output
SPN838,data,string,PWM Input (ABS/ASR)
SPN839,data,string,Dead Reckoning Unit
SPN840,data,string,Loran Receiver
SPN841,data,string,Global ing System (GPS)
SPN842,data,string,Integrated Navigation Unit
SPN843,data,string,Operator Control Panel (OCP) 1
SPN844,data,string,Pneumatic Control Unit (PCU)
SPN845,data,string,PCU Steer Solenoid
SPN846,data,string,PCU Drive Solenoid
SPN847,data,string,PCU Trailer, Tag, Or Push Solenoid
SPN848,data,string,PCU Supply Solenoid
SPN849,data,string,PCU Control Solenoid
SPN850,data,string,PCU Deflate Solenoid
SPN851,data,string,Pneumatic    Steer Channel
SPN852,data,string,Pneumatic    Drive Channel
SPN853,data,string,Pneumatic    Trailer, Tag Or Push Channel
SPN854,data,string,Heater Circuit #01
SPN855,data,string,Heater Circuit #02
SPN856,data,string,Heater Circuit #03
SPN857,data,string,Heater Circuit #04
SPN858,data,string,Heater Circuit #05
SPN859,data,string,Heater Circuit #06
SPN860,data,string,Heater Circuit #07
SPN861,data,string,Heater Circuit #08
SPN862,data,string,Heater Circuit #09
SPN863,data,string,Heater Circuit #10
SPN864,data,string,Heater Circuit #11
SPN865,data,string,Heater Circuit #12
SPN866,data,string,Heater Circuit #13
SPN867,data,string,Heater Circuit #14
SPN868,data,string,Heater Circuit #15
SPN869,data,string,Heater Circuit #16
SPN870,data,string,Heater Regeneration System
SPN871,data,string,Refrigerant Charge
SPN872,data,string,Refrigerant Moisture Level
SPN873,data,string,Non  Condensable Gas In Refrigerant
SPN874,data,string,Refrigerant Flow Control Solenoid
SPN875,data,string,Refrigerant Low Pressure Switch
SPN876,data,string,Compressor Clutch Circuit
SPN877,data,string,Evaporator Thermostat Circuit
SPN878,data,string,Clearance, Side Marker, Identification Lamp Circuit (Black)
SPN879,data,string,Left Turn Lamp Circuit (Yellow)
SPN880,data,string,Stop Lamp Circuit (Red)
SPN881,data,string,Right Turn Lamp Circuit (Green)
SPN882,data,string,Tail Lamp/License Plate Lamp Circuit (Brown)
SPN883,data,string,Auxiliary Lamp Circuit (Blue)
SPN884,data,string,Tractor Mounted Rear Axle Slider Control Unit
SPN885,data,string,Trailer Mounted Rear Axle Slider Control Unit
SPN886,data,string,Headway Controller Forward Antenna
SPN887,data,string,Headway Controller Brake Input Monitor
SPN888,data,string,Headway Controller Speaker Monitor
SPN889,data,string,Headway Controller Steering Sensor Monitor
SPN890,data,string,Headway Controller Speedometer Monitor
SPN891,data,string,Headway Controller Right Turn Signal Monitor
SPN892,data,string,Headway Controller Left Turn Signal Monitor
